Game Type,Home,Away,Game,Team,Squad,Number,ACTION,Danger,Notes,Contested/Uncontested Chance,Period,Strength,,Team Totals All Situations: VAUGHAN KINGS,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,4,D,,,,1,EV,,,Vaughan Kings,Opponent,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,17,S,LD,NO REB,,,EV,,Shot Attempts,245,273,47.30%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,17,S,MD,,U,,EV,,Shots,143,146,49.48%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,11,P,HD,,,,EV,,Chance Attempts,101,87,53.72%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,89,S,HD,,C,,EV,,Chances on Goal,72,67,51.80%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,98,CE,,,,,EV,,Chance Attempts Blocked,7,12,36.84%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,10,B,LD,,,,EV,,Uncontested Chance Attempts,25,24,51.02%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,25,CE,,,,,EV,,High Danger Attempts,42,35,54.55%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,25,D,,,,,EV,,High Danger Shots On Goal,30,31,49.18%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,34,CE,,,,,EV,,High Danger Attempts Blocked,2,1,66.67%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,18,D,,,,,EV,,Low Danger Shots,69,78,46.94%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,13,D,,,,,EV,,"Rebounds Generated
(From Low Danger Shots)",10,12,45.45%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,89,D,,,,,EV,,Total Shot Attempts Blocked,45,70,39.13%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,77,CE,,,,,EV,,Goals,22,14,61.11%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,4,D,,,,,EV,,Empty Net Goals,1,0,100.00%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,19,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,19,P,HD,,,,EV,,Team Totals EV (5v5 + 4v4),,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,19,D,,,,,PK,,,Vaughan Kings,Opponent,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,34,CE,,,,,PK,,Shot Attempts,198,213,48.18%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,34,M,MD,,C,,PK,,Shots,121,117,50.84%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,4,CE,,,,,PK,,Chance Attempts,78,65,54.55%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,17,UCE,,,,,PK,,Chances on Goal,58,52,52.73%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,77,CE,,,,,PK,,Chance Attempts Blocked,5,6,45.45%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,25,D,,,,,EV,,Uncontested Chance Attempts,18,19,48.65%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,63,GOAL,LD,,,,EV,,High Danger Attempts,37,28,56.92%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,77,CE,,,,,EV,,High Danger Shots On Goal,25,25,50.00%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,22,CE,,,,,EV,,High Danger Attempts Blocked,1,0,100.00%
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,4,D,,,,,EV,,Low Danger Shots,61,64,48.80%
